truck_id,timestamp,latitude,longitude,speed_kmh,h3_cell,zone,zone_type,restricted_violation,hour,date
TRK-001,2024-11-04 07:00:00,48.912302,2.356813,38.5,891fb474b57ffff,depot:depot_central,depot,,7,2024-11-04
TRK-001,2024-11-04 07:02:00,48.909094,2.337119,33.3,891fb474a77ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:04:00,48.90536,2.317056,51.1,891fb475993ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:06:00,48.902209,2.297368,47.8,891fb4758b3ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:08:00,48.898787,2.277844,29.8,891fb4758d3ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:10:00,48.895185,2.257661,37.7,891fb475e13ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:12:00,48.891958,2.237796,33.3,891fb475333ffff,site:site_la_defense,site,,7,2024-11-04
TRK-001,2024-11-04 07:14:00,48.892087,2.237976,0.0,891fb475333ffff,site:site_la_defense,site,,7,2024-11-04
TRK-001,2024-11-04 07:19:00,48.892038,2.238025,0.0,891fb475333ffff,site:site_la_defense,site,,7,2024-11-04
TRK-001,2024-11-04 07:24:00,48.892078,2.237889,0.0,891fb475333ffff,site:site_la_defense,site,,7,2024-11-04
TRK-001,2024-11-04 07:29:00,48.892057,2.237849,0.0,891fb475333ffff,site:site_la_defense,site,,7,2024-11-04
TRK-001,2024-11-04 07:34:00,48.891646,2.237875,27.7,891fb475333ffff,site:site_la_defense,site,,7,2024-11-04
TRK-001,2024-11-04 07:36:00,48.882165,2.245721,26.4,891fb462d83ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:38:00,48.872668,2.252831,28.3,891fb462d0fffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:40:00,48.862981,2.260416,43.8,891fb46299bffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:42:00,48.853144,2.268103,48.8,891fb46290bffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:44:00,48.84346,2.275872,37.7,891fb4676d7ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:46:00,48.83382,2.283316,26.9,891fb467647ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:48:00,48.82411,2.290883,36.4,891fb4672d3ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:50:00,48.814226,2.298179,54.9,891fb467243ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:52:00,48.804536,2.305969,40.9,891fb4609afffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:54:00,48.794855,2.313887,54.1,891fb46544bffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:56:00,48.785067,2.320723,50.8,891fb465633ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 07:58:00,48.775571,2.32878,25.3,891fb465297ffff,unknown,unknown,,7,2024-11-04
TRK-001,2024-11-04 08:00:00,48.765824,2.336201,46.6,891fb465207ffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:02:00,48.756237,2.343551,45.5,891fb46ec93ffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:04:00,48.746141,2.351002,41.1,891fb46ec03ffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:06:00,48.736751,2.358356,33.0,891fb46e89bffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:08:00,48.726916,2.366244,44.2,891fb46e80bffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:10:00,48.717157,2.373882,28.3,891fb46ebd3ffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:12:00,48.707567,2.381749,38.0,891fb46eb57ffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:14:00,48.697862,2.38869,38.6,891fb46cca7ffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:16:00,48.687991,2.396185,53.6,891fb46cd43ffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:18:00,48.678484,2.40378,51.3,891fb46c8afffff,unknown,unknown,,8,2024-11-04
TRK-001,2024-11-04 08:20:00,48.668635,2.41159,32.9,891fb46c95bffff,unknown,unknown,,8,2024-11-04
